Date,Open,High,Low,Close,Adj Close,Volume
2018-11-27,0.275600,0.279800,0.258000,0.273200,0.273200,2967649
2018-11-28,0.273200,0.315000,0.272700,0.301900,0.301900,5395154
2018-11-29,0.301900,0.316200,0.290000,0.308600,0.308600,3920752
2018-11-30,0.308600,0.310300,0.277100,0.287800,0.287800,3540632
2018-12-01,0.287800,0.304900,0.281400,0.300000,0.300000,1993308
2018-12-02,0.300000,0.316400,0.288800,0.293800,0.293800,2411069
2018-12-03,0.293800,0.297200,0.265000,0.272000,0.272000,3017028
2018-12-04,0.272000,0.290700,0.261000,0.277900,0.277900,2215199
2018-12-05,0.277900,0.279300,0.252200,0.256500,0.256500,2202662
2018-12-06,0.256500,0.266300,0.225000,0.230500,0.230500,3351803
2018-12-07,0.230500,0.255600,0.205100,0.235300,0.235300,5196399
2018-12-08,0.235300,0.243800,0.215900,0.227700,0.227700,2191070
2018-12-09,0.227700,0.250700,0.224900,0.238500,0.238500,2145369
2018-12-10,0.238500,0.242600,0.227800,0.233800,0.233800,1306932
2018-12-11,0.233800,0.235100,0.220000,0.224800,0.224800,1293070
2018-12-12,0.224800,0.239000,0.224000,0.234500,0.234500,1136909
2018-12-13,0.234500,0.234900,0.214000,0.221200,0.221200,1551595
2018-12-14,0.221200,0.224000,0.209100,0.214700,0.214700,1514222
2018-12-15,0.214700,0.225900,0.207500,0.223000,0.223000,2017800
2018-12-16,0.223000,0.237600,0.221100,0.225200,0.225200,1528419
2018-12-17,0.225200,0.267800,0.224600,0.260000,0.260000,3793403
2018-12-18,0.260000,0.296900,0.252400,0.295400,0.295400,4079767
2018-12-19,0.295400,0.316300,0.283900,0.284300,0.284300,6780664
2018-12-20,0.284300,0.362800,0.282700,0.353500,0.353500,9449544
2018-12-21,0.353500,0.361800,0.323000,0.330500,0.330500,7153555
2018-12-22,0.330500,0.354900,0.330000,0.351800,0.351800,3411374
2018-12-23,0.351800,0.393800,0.348100,0.369000,0.369000,7245544
2018-12-24,0.369000,0.399200,0.355000,0.361700,0.361700,6123535
2018-12-25,0.361700,0.362900,0.320100,0.338400,0.338400,5141880
2018-12-26,0.338400,0.354600,0.323200,0.337600,0.337600,3193898
2018-12-27,0.337600,0.347300,0.316800,0.321600,0.321600,2899143
2018-12-28,0.321600,0.375900,0.318000,0.372600,0.372600,5330353
2018-12-29,0.372600,0.382000,0.353500,0.359500,0.359500,3194687
2018-12-30,0.359500,0.369500,0.351100,0.366900,0.366900,2024424
2018-12-31,0.366900,0.377900,0.351300,0.360600,0.360600,2636029
2019-01-01,0.360600,0.376800,0.355500,0.375300,0.375300,1765680
2019-01-02,0.375300,0.408100,0.370900,0.401300,0.401300,4138850
2019-01-03,0.401300,0.405400,0.383100,0.386600,0.386600,2325734
2019-01-04,0.386600,0.397600,0.369900,0.382900,0.382900,2758729
2019-01-05,0.382900,0.391900,0.373800,0.373900,0.373900,1607517
2019-01-06,0.373900,0.395100,0.360100,0.388000,0.388000,3499971
2019-01-07,0.388000,0.391200,0.370300,0.376000,0.376000,1276357
2019-01-08,0.376000,0.383900,0.362600,0.368200,0.368200,1988609
2019-01-09,0.368200,0.380700,0.367200,0.373500,0.373500,1168594
2019-01-10,0.373500,0.379100,0.294000,0.313800,0.313800,5826782
2019-01-11,0.313800,0.324400,0.309800,0.315800,0.315800,1628468
2019-01-12,0.315800,0.318500,0.302400,0.313900,0.313900,1202668
2019-01-13,0.313900,0.315700,0.285000,0.287800,0.287800,1898615
2019-01-14,0.287800,0.315100,0.272000,0.309500,0.309500,2992775
2019-01-15,0.309500,0.313800,0.284900,0.300400,0.300400,2443706
2019-01-16,0.300400,0.312900,0.292600,0.299100,0.299100,2285454
2019-01-17,0.299100,0.327700,0.291300,0.313200,0.313200,2463556
2019-01-18,0.313200,0.317600,0.306100,0.308500,0.308500,1446450
2019-01-19,0.308500,0.332500,0.306700,0.316700,0.316700,2127377
2019-01-20,0.316700,0.320500,0.291200,0.297200,0.297200,2066145
2019-01-21,0.297200,0.319400,0.297200,0.303400,0.303400,1339926
2019-01-22,0.303400,0.314300,0.288400,0.308300,0.308300,2109177
2019-01-23,0.308300,0.310100,0.291700,0.298100,0.298100,1351760
2019-01-24,0.298100,0.301900,0.290900,0.296200,0.296200,1308104
2019-01-25,0.296200,0.297100,0.285500,0.288100,0.288100,1293698
2019-01-26,0.288100,0.294000,0.283000,0.283900,0.283900,1222223
2019-01-27,0.283900,0.286500,0.266700,0.272500,0.272500,2145820
2019-01-28,0.272500,0.273700,0.247400,0.258100,0.258100,3284795
2019-01-29,0.258100,0.262800,0.249900,0.255500,0.255500,1568755
2019-01-30,0.255500,0.269200,0.254300,0.265900,0.265900,1484773
2019-01-31,0.265900,0.278000,0.254500,0.260000,0.260000,1863780
2019-02-01,0.260000,0.262200,0.246400,0.260700,0.260700,1740241
2019-02-02,0.260700,0.268900,0.250800,0.266600,0.266600,1495567
2019-02-03,0.266600,0.268200,0.251400,0.254700,0.254700,1045619
2019-02-04,0.254700,0.261900,0.252000,0.257200,0.257200,1174089
2019-02-05,0.257200,0.259800,0.254400,0.256200,0.256200,664103
2019-02-06,0.256200,0.258200,0.240900,0.244900,0.244900,1923537
2019-02-07,0.244900,0.261400,0.244800,0.257000,0.257000,1852746
2019-02-08,0.257000,0.289800,0.253500,0.282800,0.282800,3871874
2019-02-09,0.282800,0.286900,0.274900,0.280900,0.280900,1361263
2019-02-10,0.280900,0.293900,0.276000,0.287000,0.287000,2020305
2019-02-11,0.287000,0.287100,0.270400,0.270600,0.270600,1709408
2019-02-12,0.270600,0.281100,0.266200,0.277100,0.277100,1369684
2019-02-13,0.277100,0.281100,0.269400,0.274000,0.274000,918763
2019-02-14,0.274000,0.274600,0.266200,0.269400,0.269400,1061244
2019-02-15,0.269400,0.282600,0.267800,0.275500,0.275500,1399724
2019-02-16,0.275500,0.281000,0.271200,0.277100,0.277100,812222
2019-02-17,0.277100,0.291100,0.274600,0.281400,0.281400,1786509
2019-02-18,0.281400,0.313800,0.277700,0.309900,0.309900,4164550
2019-02-19,0.309900,0.323200,0.295900,0.310000,0.310000,4201851
2019-02-20,0.310000,0.318900,0.302200,0.317500,0.317500,1498533
2019-02-21,0.317500,0.317600,0.298500,0.302300,0.302300,1624468
2019-02-22,0.302300,0.310200,0.299400,0.303100,0.303100,1542054
2019-02-23,0.303100,0.326000,0.298800,0.323900,0.323900,2753665
2019-02-24,0.323900,0.331700,0.260500,0.285200,0.285200,4359290
2019-02-25,0.285200,0.296200,0.279900,0.291000,0.291000,1688630
2019-02-26,0.291000,0.292900,0.285400,0.287200,0.287200,1130180
2019-02-27,0.287200,0.292600,0.280000,0.288900,0.288900,1296969
2019-02-28,0.288900,0.292800,0.286100,0.288600,0.288600,1008218
2019-03-01,0.288600,0.310000,0.288500,0.300000,0.300000,1760480
2019-03-02,0.300000,0.301400,0.288900,0.297500,0.297500,971689
2019-03-03,0.297500,0.299900,0.271300,0.288000,0.288000,1362567
2019-03-04,0.288000,0.289600,0.268900,0.277700,0.277700,1564526
2019-03-05,0.277700,0.290900,0.274900,0.285900,0.285900,1705231
2019-03-06,0.285900,0.287900,0.272900,0.286500,0.286500,1272250
2019-03-07,0.286500,0.289800,0.277000,0.284500,0.284500,1155932
2019-03-08,0.284500,0.287900,0.266300,0.280000,0.280000,1962614
2019-03-09,0.280000,0.295300,0.277900,0.286100,0.286100,2369022
2019-03-10,0.286100,0.287700,0.282500,0.285600,0.285600,719948
2019-03-11,0.285600,0.290300,0.275400,0.282900,0.282900,1570503
2019-03-12,0.282900,0.288900,0.276700,0.287500,0.287500,1246523
2019-03-13,0.287500,0.297500,0.285500,0.291400,0.291400,1472960
2019-03-14,0.291400,0.306700,0.284900,0.301900,0.301900,1896714
2019-03-15,0.301900,0.305800,0.299800,0.303600,0.303600,1128867
2019-03-16,0.303600,0.315800,0.301600,0.309200,0.309200,1408331
2019-03-17,0.309200,0.309500,0.298200,0.300000,0.300000,1285231
2019-03-18,0.300000,0.304400,0.293000,0.298000,0.298000,1147100
2019-03-19,0.298000,0.301100,0.294000,0.299300,0.299300,966195
2019-03-20,0.299300,0.306600,0.294000,0.303500,0.303500,1540877
2019-03-21,0.303500,0.318100,0.287000,0.317800,0.317800,3528958
2019-03-22,0.317800,0.325100,0.309600,0.313100,0.313100,2738982
2019-03-23,0.313100,0.323500,0.311700,0.314600,0.314600,1908370
2019-03-24,0.314600,0.314600,0.307400,0.309800,0.309800,1486519
2019-03-25,0.309800,0.309800,0.294800,0.299500,0.299500,1782187
2019-03-26,0.299500,0.299900,0.290100,0.297200,0.297200,1251385
2019-03-27,0.297200,0.309900,0.295300,0.309200,0.309200,1676064
2019-03-28,0.309200,0.311700,0.302600,0.307100,0.307100,1647896
2019-03-29,0.307100,0.313400,0.302100,0.312300,0.312300,1330662
2019-03-30,0.312300,0.316300,0.304600,0.311100,0.311100,1297037
2019-03-31,0.311100,0.312100,0.305300,0.310400,0.310400,997072
2019-04-01,0.310400,0.330700,0.308100,0.324200,0.324200,3420759
2019-04-02,0.324200,0.358100,0.324200,0.355500,0.355500,5612717
2019-04-03,0.355500,0.384600,0.327100,0.338800,0.338800,9877039
2019-04-04,0.338800,0.354500,0.327700,0.334000,0.334000,4283435
2019-04-05,0.334000,0.356200,0.332300,0.356200,0.356200,2522309
2019-04-06,0.356200,0.358900,0.340700,0.347600,0.347600,1593015
2019-04-07,0.347600,0.369200,0.346100,0.361700,0.361700,3023606
2019-04-08,0.361700,0.363800,0.341400,0.357200,0.357200,2613313
2019-04-09,0.357200,0.357400,0.341400,0.347700,0.347700,1626960
2019-04-10,0.347700,0.365100,0.331100,0.346100,0.346100,3194405
2019-04-11,0.346100,0.347400,0.310600,0.322600,0.322600,3624916
2019-04-12,0.322600,0.326700,0.310800,0.321900,0.321900,1326649
2019-04-13,0.321900,0.326100,0.316100,0.319600,0.319600,952138
2019-04-14,0.319600,0.321100,0.294500,0.318100,0.318100,2742404
2019-04-15,0.318100,0.318400,0.298600,0.302100,0.302100,2120000
2019-04-16,0.302100,0.314300,0.300800,0.310900,0.310900,1629803
2019-04-17,0.310900,0.312300,0.299800,0.307900,0.307900,2473373
2019-04-18,0.307900,0.316800,0.306400,0.308300,0.308300,2236873
2019-04-19,0.308300,0.310500,0.303300,0.308500,0.308500,1615227
2019-04-20,0.308500,0.313900,0.307100,0.310700,0.310700,1549066
2019-04-21,0.310700,0.314000,0.295800,0.304000,0.304000,2510156
2019-04-22,0.304000,0.310600,0.299800,0.306700,0.306700,1507592
2019-04-23,0.306700,0.309600,0.291200,0.294400,0.294400,3084560
2019-04-24,0.294400,0.295900,0.273700,0.282200,0.282200,2780838
2019-04-25,0.282200,0.285100,0.255800,0.262300,0.262300,3043430
2019-04-26,0.262300,0.274800,0.236600,0.273300,0.273300,3805946
2019-04-27,0.273300,0.273400,0.261600,0.266500,0.266500,1452272
2019-04-28,0.266100,0.281400,0.254500,0.275100,0.275100,2184793
2019-04-29,0.275100,0.326400,0.275100,0.317800,0.317800,11104705
2019-04-30,0.317800,0.321900,0.298100,0.313600,0.313600,3888161
2019-05-01,0.313600,0.314600,0.296900,0.305100,0.305100,1922731
2019-05-02,0.305100,0.307400,0.291300,0.297600,0.297600,1729112
2019-05-03,0.297600,0.305300,0.292400,0.298200,0.298200,2730070
2019-05-04,0.298200,0.301800,0.281200,0.289300,0.289300,2143011
